"attrition_flag","gender","customer_age","income_category","card_category","credit_limit","total_revolving_bal","avg_utilization_ratio","avg_open_to_buy","months_inactive_12_mon"
"Existing Customer","M",62,"$40K - $60K","Blue",1438.3,0,0,1438.3,3
"Existing Customer","F",41,"Less than $40K","Blue",3893,1157,0.297,2736,3
"Existing Customer","F",44,"Less than $40K","Blue",3242,799,0.246,2443,2
"Existing Customer","M",59,"$40K - $60K","Blue",6035,1392,0.231,4643,3
"Existing Customer","F",55,"Unknown","Blue",17642,1846,0.105,15796,3
"Existing Customer","M",26,"$60K - $80K","Blue",4327,0,0,4327,3
"Attrited Customer","M",40,"$80K - $120K","Silver",34516,0,0,34516,1
"Existing Customer","F",44,"Less than $40K","Blue",4852,1777,0.366,3075,1
"Existing Customer","M",37,"Unknown","Blue",7147,1424,0.199,5723,3
"Existing Customer","M",37,"$60K - $80K","Blue",10320,1799,0.174,8521,3
"Existing Customer","F",65,"Less than $40K","Blue",3297,2297,0.697,1000,2
"Existing Customer","M",46,"$60K - $80K","Blue",9981,807,0.081,9174,2
"Existing Customer","M",53,"$120K +","Blue",3329,1092,0.328,2237,3
"Existing Customer","F",56,"Less than $40K","Blue",5991,1993,0.333,3998,3
"Existing Customer","M",48,"$40K - $60K","Blue",3235,2517,0.778,718,1
"Existing Customer","M",34,"$120K +","Blue",6259,1063,0.17,5196,3
"Existing Customer","M",65,"Less than $40K","Blue",2541,1616,0.636,925,3
"Existing Customer","M",55,"$80K - $120K","Blue",21351,2517,0.118,18834,2
"Existing Customer","M",32,"$40K - $60K","Blue",8998,1471,0.163,7527,2
"Existing Customer","F",58,"Unknown","Blue",10247,1600,0.156,8647,3
"Existing Customer","M",54,"$120K +","Blue",20311,1655,0.081,18656,3
"Existing Customer","M",52,"$60K - $80K","Silver",33182,1997,0.06,31185,1
"Existing Customer","M",36,"$60K - $80K","Blue",1686,1252,0.743,434,5
"Attrited Customer","M",56,"$60K - $80K","Blue",4742,855,0.18,3887,2
"Existing Customer","M",33,"$60K - $80K","Blue",1726,1215,0.704,511,1
"Existing Customer","M",61,"$80K - $120K","Blue",8420,1389,0.165,7031,2
"Existing Customer","M",61,"$60K - $80K","Blue",3352,1713,0.511,1639,3
"Existing Customer","M",43,"$40K - $60K","Blue",6648,2242,0.337,4406,2
"Existing Customer","F",48,"Less than $40K","Blue",2335,1845,0.79,490,3
"Existing Customer","M",36,"$60K - $80K","Blue",12397,1001,0.081,11396,3
"Existing Customer","M",34,"$40K - $60K","Blue",1438.3,708,0.492,730.3,1
"Existing Customer","F",53,"Less than $40K","Blue",2240,1601,0.715,639,6
"Existing Customer","F",43,"$40K - $60K","Blue",5330,1161,0.218,4169,3
"Existing Customer","F",61,"Less than $40K","Blue",1795,794,0.442,1001,3
"Existing Customer","M",55,"$80K - $120K","Blue",5741,1894,0.33,3847,1
"Existing Customer","F",51,"Unknown","Blue",2002,1248,0.623,754,3
"Existing Customer","M",38,"$80K - $120K","Blue",25662,1515,0.059,24147,3
"Existing Customer","M",52,"$80K - $120K","Blue",22103,1515,0.069,20588,1
"Existing Customer","F",36,"Less than $40K","Blue",1438.3,0,0,1438.3,1
"Attrited Customer","F",45,"$40K - $60K","Blue",12355,0,0,12355,2
"Existing Customer","F",34,"$40K - $60K","Blue",2000,0,0,2000,1
"Existing Customer","M",27,"$120K +","Blue",8713,1354,0.155,7359,2
"Existing Customer","F",49,"Less than $40K","Blue",9165,0,0,9165,1
"Existing Customer","F",43,"Less than $40K","Silver",11583,631,0.054,10952,1
"Existing Customer","M",52,"$80K - $120K","Blue",1438.3,702,0.488,736.3,3
"Attrited Customer","F",31,"Unknown","Blue",8149,0,0,8149,1
"Attrited Customer","M",40,"$80K - $120K","Blue",3616,1151,0.318,2465,2
"Existing Customer","M",39,"$80K - $120K","Blue",8434,2222,0.263,6212,2
"Existing Customer","M",45,"$60K - $80K","Blue",9791,1311,0.134,8480,3
"Existing Customer","F",37,"Less than $40K","Blue",8444,1945,0.23,6499,2
"Existing Customer","F",49,"Less than $40K","Blue",2228,1003,0.45,1225,1
"Attrited Customer","M",56,"$120K +","Blue",12211,0,0,12211,1
"Existing Customer","F",62,"Less than $40K","Blue",1438.3,0,0,1438.3,3
"Existing Customer","F",37,"$40K - $60K","Blue",1586,1038,0.654,548,3
"Existing Customer","M",42,"$40K - $60K","Blue",2247,1045,0.465,1202,3
"Existing Customer","M",36,"$60K - $80K","Blue",2789,1584,0.568,1205,4
"Existing Customer","M",59,"$40K - $60K","Blue",4241,0,0,4241,2
"Existing Customer","F",40,"Unknown","Blue",8398,1892,0.225,6506,1
"Existing Customer","M",43,"$40K - $60K","Blue",4112,768,0.187,3344,3
"Existing Customer","M",29,"$40K - $60K","Silver",15578,1383,0.089,14195,2
"Existing Customer","F",42,"$40K - $60K","Blue",4008,1636,0.408,2372,2
"Existing Customer","F",63,"Unknown","Blue",12766,0,0,12766,1
"Existing Customer","F",36,"Less than $40K","Blue",3438,1129,0.328,2309,2
"Existing Customer","M",53,"$80K - $120K","Blue",16692,2446,0.147,14246,1
"Existing Customer","F",36,"Less than $40K","Blue",4066,1639,0.403,2427,2
"Existing Customer","M",36,"$60K - $80K","Blue",13080,0,0,13080,2
"Existing Customer","M",26,"Less than $40K","Blue",1934,1070,0.553,864,1
"Existing Customer","F",45,"Less than $40K","Blue",3230,2517,0.779,713,2
"Existing Customer","F",55,"Less than $40K","Blue",3615,1699,0.47,1916,2
"Existing Customer","F",61,"Unknown","Blue",1801,0,0,1801,2
"Existing Customer","M",26,"Less than $40K","Blue",2665,1567,0.588,1098,3
"Existing Customer","M",40,"$60K - $80K","Silver",28822,2517,0.087,26305,3
"Existing Customer","M",38,"$40K - $60K","Blue",14632,1158,0.079,13474,3
"Existing Customer","F",32,"Unknown","Blue",6715,1314,0.196,5401,3
"Existing Customer","M",53,"$60K - $80K","Blue",6658,1761,0.264,4897,2
"Existing Customer","F",52,"$40K - $60K","Blue",3360,1219,0.363,2141,2
"Existing Customer","M",29,"$80K - $120K","Blue",14853,0,0,14853,3
"Existing Customer","M",38,"$60K - $80K","Blue",4800,1212,0.252,3588,3
"Existing Customer","M",27,"$40K - $60K","Blue",4610,0,0,4610,1
"Existing Customer","F",46,"Less than $40K","Blue",1438.3,981,0.682,457.3,3
"Existing Customer","M",57,"$60K - $80K","Blue",8377,1211,0.145,7166,4
"Existing Customer","M",42,"$80K - $120K","Blue",4147,1719,0.415,2428,5
"Existing Customer","F",62,"$40K - $60K","Blue",2644,2207,0.835,437,1
"Existing Customer","F",37,"$40K - $60K","Blue",13355,1631,0.122,11724,3
"Existing Customer","F",57,"$40K - $60K","Blue",3251,1887,0.58,1364,2
"Existing Customer","M",35,"$40K - $60K","Blue",2100,950,0.452,1150,3
"Existing Customer","F",55,"Less than $40K","Blue",3566,1401,0.393,2165,3
"Existing Customer","F",56,"Unknown","Blue",14915,1111,0.074,13804,1
"Existing Customer","M",39,"$60K - $80K","Blue",13003,0,0,13003,1
"Existing Customer","M",64,"Less than $40K","Blue",2492,1424,0.571,1068,3
"Existing Customer","F",37,"Less than $40K","Blue",1758,1180,0.671,578,2
"Existing Customer","M",34,"$60K - $80K","Blue",5510,1604,0.291,3906,2
"Existing Customer","M",46,"$60K - $80K","Blue",17196,1646,0.096,15550,1
"Existing Customer","F",65,"$40K - $60K","Blue",5877,1697,0.289,4180,1
"Existing Customer","M",36,"$60K - $80K","Blue",7667,0,0,7667,1
"Existing Customer","F",35,"$40K - $60K","Blue",2939,1865,0.635,1074,1
"Existing Customer","M",49,"$80K - $120K","Blue",5898,1348,0.229,4550,1
"Existing Customer","F",46,"Unknown","Blue",19995,0,0,19995,3
"Existing Customer","M",26,"$40K - $60K","Blue",2773,2080,0.75,693,1
"Existing Customer","M",52,"$60K - $80K","Blue",3323,2310,0.695,1013,2
"Existing Customer","F",38,"Unknown","Blue",16049,799,0.05,15250,3
"Existing Customer","M",37,"$40K - $60K","Blue",3601,1236,0.343,2365,4
"Existing Customer","F",33,"Less than $40K","Blue",2307,1385,0.6,922,2
"Existing Customer","M",59,"$60K - $80K","Blue",3742,1175,0.314,2567,3
"Existing Customer","M",34,"$40K - $60K","Blue",2937,869,0.296,2068,3
"Existing Customer","F",39,"Unknown","Blue",3209,2517,0.784,692,1
"Existing Customer","M",59,"$60K - $80K","Blue",12554,2169,0.173,10385,1
"Existing Customer","M",50,"$60K - $80K","Blue",4702,0,0,4702,3
"Existing Customer","F",26,"$40K - $60K","Blue",5645,2324,0.412,3321,2
"Existing Customer","M",32,"$60K - $80K","Blue",14308,1889,0.132,12419,3
"Attrited Customer","F",51,"$40K - $60K","Blue",4882,695,0.142,4187,1
"Existing Customer","M",41,"$80K - $120K","Blue",33405,0,0,33405,3
"Existing Customer","F",39,"$40K - $60K","Blue",2700,2220,0.822,480,1
"Existing Customer","F",49,"Less than $40K","Blue",2934,2381,0.812,553,1
"Existing Customer","M",30,"$120K +","Blue",1548,0,0,1548,2
"Existing Customer","F",40,"Less than $40K","Blue",5525,2409,0.436,3116,2
"Existing Customer","F",36,"Less than $40K","Blue",5750,1521,0.265,4229,2
"Existing Customer","M",56,"$120K +","Blue",27157,1547,0.057,25610,3
"Existing Customer","M",37,"$80K - $120K","Blue",12830,0,0,12830,2
"Existing Customer","F",51,"Less than $40K","Blue",5530,1999,0.361,3531,1
"Existing Customer","F",36,"Less than $40K","Blue",2684,1474,0.549,1210,2
"Existing Customer","M",62,"$80K - $120K","Blue",2437,1400,0.574,1037,1
"Existing Customer","F",31,"Less than $40K","Blue",3827,1397,0.365,2430,2
"Existing Customer","M",42,"$120K +","Blue",34516,1658,0.048,32858,2
"Existing Customer","M",38,"$60K - $80K","Blue",5940,1101,0.185,4839,3
"Attrited Customer","M",45,"$60K - $80K","Blue",13162,0,0,13162,3
"Existing Customer","F",50,"Less than $40K","Blue",1963,1357,0.691,606,2
"Existing Customer","M",58,"$80K - $120K","Blue",18713,1022,0.055,17691,3
"Existing Customer","M",35,"$80K - $120K","Blue",3023,1435,0.475,1588,1
"Existing Customer","M",58,"$120K +","Blue",6103,1798,0.295,4305,1
"Existing Customer","M",42,"$60K - $80K","Blue",10607,2517,0.237,8090,3
"Existing Customer","F",32,"Less than $40K","Blue",2917,2517,0.863,400,3
"Existing Customer","M",35,"$120K +","Blue",34516,1018,0.029,33498,3
"Existing Customer","M",51,"$80K - $120K","Blue",25197,2517,0.1,22680,2
"Existing Customer","M",63,"Less than $40K","Blue",2743,1815,0.662,928,2
"Existing Customer","M",42,"$120K +","Blue",4111,1233,0.3,2878,2
"Existing Customer","F",36,"Unknown","Blue",3667,948,0.259,2719,3
"Existing Customer","M",42,"$40K - $60K","Blue",3178,1800,0.566,1378,2
"Attrited Customer","F",37,"Unknown","Blue",5674,0,0,5674,3
"Existing Customer","M",38,"$80K - $120K","Blue",11444,1278,0.112,10166,3
"Existing Customer","M",29,"$40K - $60K","Blue",1438.3,0,0,1438.3,1
"Existing Customer","M",54,"$40K - $60K","Blue",6387,1597,0.25,4790,3
"Existing Customer","M",33,"$40K - $60K","Blue",5657,1792,0.317,3865,3
"Existing Customer","F",63,"Unknown","Blue",11827,0,0,11827,3
"Existing Customer","M",49,"$60K - $80K","Blue",2608,1589,0.609,1019,3
"Existing Customer","F",44,"Less than $40K","Blue",3203,2076,0.648,1127,5
"Existing Customer","F",33,"Unknown","Gold",34516,1540,0.045,32976,1
"Existing Customer","M",57,"$80K - $120K","Blue",2472,2457,0.994,15,3
"Existing Customer","F",52,"Less than $40K","Blue",2147,1173,0.546,974,3
"Existing Customer","F",52,"Less than $40K","Blue",3416,2044,0.598,1372,1
"Existing Customer","F",39,"Unknown","Blue",8058,791,0.098,7267,2
"Existing Customer","F",50,"Unknown","Blue",3410,2281,0.669,1129,1
"Existing Customer","M",43,"$60K - $80K","Blue",19044,0,0,19044,2
"Existing Customer","M",36,"$60K - $80K","Blue",1606,798,0.497,808,2
"Existing Customer","M",55,"$120K +","Blue",24336,856,0.035,23480,2
"Existing Customer","F",30,"Less than $40K","Blue",5030,1327,0.264,3703,2
"Existing Customer","M",36,"$120K +","Blue",24577,0,0,24577,3
"Existing Customer","F",26,"Less than $40K","Blue",3517,1195,0.34,2322,3
"Existing Customer","M",48,"$40K - $60K","Blue",7400,636,0.086,6764,2
"Existing Customer","F",53,"$40K - $60K","Blue",2956,1391,0.471,1565,2
"Attrited Customer","F",42,"Unknown","Blue",3578,0,0,3578,1
"Attrited Customer","M",53,"$120K +","Blue",12778,507,0.04,12271,3
"Existing Customer","F",58,"Less than $40K","Blue",1942,1536,0.791,406,3
"Existing Customer","M",32,"$80K - $120K","Blue",29961,789,0.026,29172,1
"Existing Customer","M",48,"$60K - $80K","Silver",33791,0,0,33791,3
"Existing Customer","M",48,"$40K - $60K","Silver",17657,2018,0.114,15639,0
"Existing Customer","M",54,"$120K +","Blue",2821,2415,0.856,406,3
"Existing Customer","M",59,"Less than $40K","Blue",1479,787,0.532,692,3
"Existing Customer","M",35,"$60K - $80K","Blue",1438.3,0,0,1438.3,3
"Existing Customer","M",37,"$40K - $60K","Blue",6859,1766,0.257,5093,1
"Existing Customer","M",36,"$120K +","Blue",3404,1568,0.461,1836,2
"Existing Customer","M",26,"$40K - $60K","Blue",2158,1695,0.785,463,1
"Attrited Customer","F",35,"Less than $40K","Blue",1890,666,0.352,1224,2
"Attrited Customer","M",40,"$60K - $80K","Blue",18386,890,0.048,17496,3
"Existing Customer","F",55,"Unknown","Blue",3602,2013,0.559,1589,5
"Existing Customer","M",39,"$80K - $120K","Blue",3766,1049,0.279,2717,1
"Existing Customer","F",39,"Less than $40K","Blue",5634,2057,0.365,3577,2
"Existing Customer","F",46,"$40K - $60K","Blue",3126,2517,0.805,609,2
"Existing Customer","M",49,"$60K - $80K","Blue",3017,786,0.261,2231,1
"Existing Customer","M",32,"$60K - $80K","Blue",5478,1491,0.272,3987,2
"Existing Customer","M",35,"$80K - $120K","Blue",13046,1177,0.09,11869,3
"Existing Customer","M",39,"$40K - $60K","Blue",8687,1146,0.132,7541,3
"Existing Customer","F",53,"Less than $40K","Blue",6174,1421,0.23,4753,2
"Existing Customer","F",26,"$40K - $60K","Blue",5655,0,0,5655,1
"Existing Customer","M",32,"$60K - $80K","Blue",5397,1784,0.331,3613,2
"Existing Customer","M",54,"$120K +","Blue",28465,0,0,28465,1
"Existing Customer","F",36,"Less than $40K","Blue",3444,2441,0.709,1003,2
"Existing Customer","F",45,"Less than $40K","Blue",2104,1267,0.602,837,1
"Existing Customer","M",49,"$80K - $120K","Blue",15610,2048,0.131,13562,1
"Existing Customer","M",44,"$120K +","Blue",34516,1356,0.039,33160,2
"Existing Customer","M",32,"Unknown","Blue",16912,1590,0.094,15322,1
"Existing Customer","F",64,"Less than $40K","Blue",5462,1864,0.341,3598,1
"Existing Customer","F",37,"Less than $40K","Blue",2868,1434,0.5,1434,1
"Existing Customer","M",31,"$60K - $80K","Blue",2685,1580,0.588,1105,1
"Existing Customer","F",49,"$40K - $60K","Blue",5238,1365,0.261,3873,1
"Existing Customer","F",32,"Less than $40K","Blue",4561,2029,0.445,2532,2
"Existing Customer","M",53,"$120K +","Blue",13091,985,0.075,12106,2
"Existing Customer","F",62,"Unknown","Blue",10826,1274,0.118,9552,3
"Existing Customer","F",26,"Unknown","Blue",2600,1876,0.722,724,2
"Existing Customer","F",49,"Unknown","Blue",2561,0,0,2561,3
"Existing Customer","F",30,"Less than $40K","Blue",7087,1060,0.15,6027,2
"Existing Customer","M",34,"$120K +","Blue",34516,2517,0.073,31999,3
"Existing Customer","M",41,"$40K - $60K","Blue",10266,1390,0.135,8876,2
"Existing Customer","F",27,"Less than $40K","Blue",1553,723,0.466,830,3
"Existing Customer","F",33,"$40K - $60K","Blue",6732,0,0,6732,2
"Existing Customer","M",56,"$120K +","Blue",12181,1702,0.14,10479,1
"Existing Customer","M",36,"$80K - $120K","Blue",7056,0,0,7056,1
"Existing Customer","M",35,"$60K - $80K","Blue",14365,0,0,14365,1
"Existing Customer","M",27,"$40K - $60K","Blue",11473,829,0.072,10644,2
"Existing Customer","M",46,"$60K - $80K","Blue",23996,2517,0.105,21479,2
"Existing Customer","M",48,"$60K - $80K","Blue",2998,1789,0.597,1209,2
"Existing Customer","M",54,"$80K - $120K","Blue",30011,1232,0.041,28779,2
"Existing Customer","M",38,"$60K - $80K","Blue",2405,1553,0.646,852,3
"Existing Customer","M",36,"$80K - $120K","Blue",21927,1291,0.059,20636,4
"Existing Customer","M",56,"$80K - $120K","Blue",3906,1851,0.474,2055,1
"Existing Customer","M",32,"$60K - $80K","Blue",10029,606,0.06,9423,3
"Existing Customer","M",36,"$60K - $80K","Blue",4934,1504,0.305,3430,3
"Existing Customer","F",35,"Less than $40K","Silver",13882,1452,0.105,12430,2
"Existing Customer","M",26,"Unknown","Blue",2347,0,0,2347,3
"Existing Customer","M",32,"$60K - $80K","Blue",4116,1223,0.297,2893,2
"Existing Customer","F",56,"$40K - $60K","Blue",13904,625,0.045,13279,1
"Existing Customer","M",54,"$80K - $120K","Blue",32558,2016,0.062,30542,2
"Existing Customer","M",54,"$80K - $120K","Blue",12902,1860,0.144,11042,1
"Existing Customer","F",37,"Less than $40K","Blue",2509,1144,0.456,1365,1
"Existing Customer","F",38,"Less than $40K","Blue",2484,2149,0.865,335,3
"Existing Customer","M",35,"$60K - $80K","Blue",2780,0,0,2780,1
"Existing Customer","M",39,"$60K - $80K","Blue",5219,1826,0.35,3393,2
"Existing Customer","M",48,"$80K - $120K","Blue",18102,1381,0.076,16721,3
"Existing Customer","M",29,"$40K - $60K","Blue",4532,0,0,4532,3
"Existing Customer","M",33,"$80K - $120K","Blue",22399,1431,0.064,20968,2
"Existing Customer","F",39,"$40K - $60K","Blue",4489,2498,0.556,1991,5
"Existing Customer","F",35,"Unknown","Blue",10329,514,0.05,9815,1
"Existing Customer","F",43,"Less than $40K","Blue",2637,1272,0.482,1365,2
"Existing Customer","F",27,"Less than $40K","Blue",1864,1384,0.742,480,1
"Existing Customer","F",52,"Unknown","Blue",13276,1917,0.144,11359,3
"Existing Customer","M",31,"$40K - $60K","Blue",1935,1033,0.534,902,3
"Existing Customer","M",45,"$60K - $80K","Blue",6784,891,0.131,5893,2
"Existing Customer","M",35,"$60K - $80K","Blue",19127,1880,0.098,17247,2
"Existing Customer","M",55,"$120K +","Blue",32641,1551,0.048,31090,2
"Existing Customer","M",61,"$40K - $60K","Blue",1438.3,847,0.589,591.3,3
"Existing Customer","F",37,"Less than $40K","Blue",2417,1929,0.798,488,2
"Existing Customer","M",38,"$80K - $120K","Blue",19259,2266,0.118,16993,1
"Existing Customer","F",54,"Less than $40K","Blue",3796,2396,0.631,1400,2
"Existing Customer","M",40,"$80K - $120K","Blue",4042,1744,0.431,2298,1
"Existing Customer","M",47,"$120K +","Blue",17603,1063,0.06,16540,1
"Existing Customer","F",55,"$40K - $60K","Blue",2894,2077,0.718,817,1
"Existing Customer","M",37,"$80K - $120K","Blue",16730,1956,0.117,14774,1
"Existing Customer","F",36,"Less than $40K","Blue",3282,1843,0.562,1439,3
"Existing Customer","F",53,"Unknown","Blue",15815,1217,0.077,14598,2
"Existing Customer","M",26,"$60K - $80K","Blue",1672,957,0.572,715,2
"Existing Customer","F",45,"Less than $40K","Blue",8121,1595,0.196,6526,3
"Existing Customer","F",36,"Less than $40K","Blue",3182,2435,0.765,747,1
"Existing Customer","M",60,"$60K - $80K","Blue",3182,1928,0.606,1254,1
"Attrited Customer","M",30,"Less than $40K","Blue",5061,0,0,5061,2
"Existing Customer","M",39,"$60K - $80K","Blue",6224,1898,0.305,4326,3
"Existing Customer","F",33,"Unknown","Blue",2735,1769,0.647,966,1
"Existing Customer","F",48,"Less than $40K","Blue",2464,1867,0.758,597,1
"Existing Customer","M",39,"$60K - $80K","Blue",3477,1875,0.539,1602,3
"Existing Customer","M",38,"$80K - $120K","Blue",3242,2076,0.64,1166,2
"Existing Customer","M",47,"$120K +","Blue",27858,1314,0.047,26544,1
"Existing Customer","M",26,"Less than $40K","Blue",1438.3,495,0.344,943.3,2
"Existing Customer","M",49,"$120K +","Blue",34516,0,0,34516,2
"Existing Customer","M",38,"$80K - $120K","Blue",6361,694,0.109,5667,2
"Existing Customer","M",30,"Less than $40K","Blue",2490,0,0,2490,6
"Existing Customer","M",53,"$120K +","Blue",14057,1655,0.118,12402,6
"Existing Customer","M",49,"$60K - $80K","Blue",2461,1586,0.644,875,1
"Existing Customer","M",35,"$60K - $80K","Blue",7766,1278,0.165,6488,3
"Existing Customer","M",40,"$40K - $60K","Silver",21308,564,0.026,20744,1
"Existing Customer","M",30,"$60K - $80K","Blue",4516,2252,0.499,2264,2
"Existing Customer","F",42,"$40K - $60K","Blue",5424,1812,0.334,3612,3
"Existing Customer","F",62,"Less than $40K","Blue",1764,1540,0.873,224,2
"Attrited Customer","F",50,"$40K - $60K","Blue",1493,932,0.624,561,3
"Existing Customer","M",56,"$120K +","Blue",17539,2517,0.144,15022,2
"Existing Customer","M",45,"$80K - $120K","Silver",34516,0,0,34516,2
"Existing Customer","F",35,"Less than $40K","Blue",2149,1118,0.52,1031,1
"Existing Customer","F",57,"Less than $40K","Blue",6256,1530,0.245,4726,4
"Existing Customer","F",33,"Unknown","Blue",11922,792,0.066,11130,1
"Attrited Customer","F",43,"Less than $40K","Blue",4075,1986,0.487,2089,2
"Existing Customer","M",53,"$80K - $120K","Blue",7290,2151,0.295,5139,1
"Existing Customer","M",50,"$60K - $80K","Blue",5965,688,0.115,5277,3
"Existing Customer","M",30,"$120K +","Blue",9007,1965,0.218,7042,1
"Existing Customer","F",37,"Less than $40K","Blue",6077,1397,0.23,4680,2
"Existing Customer","M",37,"$40K - $60K","Blue",1808,1009,0.558,799,3
"Existing Customer","M",45,"$80K - $120K","Blue",12810,0,0,12810,1
"Attrited Customer","M",58,"$40K - $60K","Blue",3421,2517,0.736,904,1
"Existing Customer","F",63,"$40K - $60K","Blue",3118,1528,0.49,1590,1
"Existing Customer","M",43,"$60K - $80K","Blue",20013,922,0.046,19091,3
"Existing Customer","F",26,"Unknown","Blue",4395,1240,0.282,3155,1
"Existing Customer","F",37,"Less than $40K","Blue",9661,0,0,9661,3
"Existing Customer","M",53,"$60K - $80K","Blue",1973,1324,0.671,649,2
"Existing Customer","M",55,"$120K +","Blue",9926,2018,0.203,7908,2
"Existing Customer","M",36,"$60K - $80K","Blue",4108,1659,0.404,2449,3
"Existing Customer","M",51,"$120K +","Blue",20741,2504,0.121,18237,1
"Existing Customer","M",36,"$80K - $120K","Blue",16335,892,0.055,15443,1
"Existing Customer","F",35,"Unknown","Blue",4588,2517,0.549,2071,3
"Existing Customer","F",34,"Less than $40K","Blue",5712,1955,0.342,3757,3
"Existing Customer","M",57,"$60K - $80K","Blue",5335,1206,0.226,4129,1
"Attrited Customer","F",54,"Unknown","Blue",13184,0,0,13184,2
"Existing Customer","M",29,"$60K - $80K","Blue",8592,1201,0.14,7391,2
"Existing Customer","F",37,"Less than $40K","Blue",1910,1164,0.609,746,3
"Existing Customer","F",53,"Less than $40K","Blue",6210,1083,0.174,5127,3
"Existing Customer","M",36,"$40K - $60K","Blue",2220,1337,0.602,883,2
"Existing Customer","M",49,"$40K - $60K","Silver",20756,1710,0.082,19046,2
"Existing Customer","F",64,"$40K - $60K","Blue",2895,2517,0.869,378,3
"Existing Customer","M",53,"$60K - $80K","Blue",3539,2517,0.711,1022,3
"Existing Customer","M",52,"$120K +","Blue",9274,2097,0.226,7177,1
"Existing Customer","F",35,"Less than $40K","Blue",3187,2517,0.79,670,1
"Attrited Customer","F",37,"Less than $40K","Blue",2802,2460,0.878,342,1
"Existing Customer","M",50,"$60K - $80K","Blue",2334,707,0.303,1627,3
"Existing Customer","F",65,"Less than $40K","Blue",1438.3,0,0,1438.3,3
"Existing Customer","F",53,"Less than $40K","Blue",3519,0,0,3519,2
"Existing Customer","M",53,"$120K +","Blue",3088,2083,0.675,1005,2
"Existing Customer","M",40,"$80K - $120K","Silver",34516,1002,0.029,33514,3
"Existing Customer","M",39,"$60K - $80K","Blue",11906,2032,0.171,9874,1
"Existing Customer","F",53,"Unknown","Blue",11098,821,0.074,10277,2
"Existing Customer","M",36,"$60K - $80K","Blue",2224,1772,0.797,452,3
"Existing Customer","F",35,"$40K - $60K","Blue",3454,1603,0.464,1851,3
"Existing Customer","F",37,"Less than $40K","Blue",5723,1873,0.327,3850,2
"Existing Customer","F",36,"Less than $40K","Blue",9239,1421,0.154,7818,2
"Existing Customer","M",39,"$80K - $120K","Blue",4061,1775,0.437,2286,3
"Existing Customer","M",65,"Less than $40K","Blue",4189,0,0,4189,3
"Existing Customer","F",45,"Less than $40K","Blue",6373,1562,0.245,4811,1
"Existing Customer","F",38,"Less than $40K","Blue",2228,1717,0.771,511,2
"Attrited Customer","F",36,"Less than $40K","Blue",3261,2517,0.772,744,2
"Existing Customer","F",40,"Less than $40K","Blue",8014,1402,0.175,6612,3
"Existing Customer","F",35,"$40K - $60K","Blue",10980,1726,0.157,9254,1
"Existing Customer","M",54,"$120K +","Blue",3092,2165,0.7,927,3
"Existing Customer","M",40,"$80K - $120K","Blue",14315,690,0.048,13625,1
"Existing Customer","M",59,"$40K - $60K","Blue",1648,997,0.605,651,3
"Attrited Customer","F",26,"$40K - $60K","Blue",1730,1616,0.934,114,2
"Existing Customer","M",46,"$60K - $80K","Blue",13768,763,0.055,13005,3
"Existing Customer","F",29,"Unknown","Blue",1709,1465,0.857,244,3
"Existing Customer","M",38,"$40K - $60K","Blue",1705,0,0,1705,2
"Existing Customer","M",31,"$60K - $80K","Blue",8673,0,0,8673,1
"Existing Customer","M",35,"$60K - $80K","Blue",6391,2317,0.363,4074,2
"Existing Customer","M",56,"$80K - $120K","Blue",11102,1946,0.175,9156,2
"Existing Customer","M",34,"$80K - $120K","Blue",24765,1999,0.081,22766,1
"Existing Customer","M",42,"$80K - $120K","Blue",31864,0,0,31864,3
"Existing Customer","M",29,"$60K - $80K","Blue",5346,0,0,5346,3
"Existing Customer","M",32,"$40K - $60K","Blue",2801,1472,0.526,1329,2
"Existing Customer","F",37,"Less than $40K","Blue",3148,0,0,3148,6
"Existing Customer","F",36,"Less than $40K","Blue",2786,1628,0.584,1158,5
"Existing Customer","M",37,"$60K - $80K","Blue",11894,816,0.069,11078,1
"Existing Customer","M",38,"$80K - $120K","Blue",7535,2517,0.334,5018,3
"Attrited Customer","M",52,"$60K - $80K","Silver",33180,511,0.015,32669,4
"Existing Customer","F",62,"Less than $40K","Blue",2986,1632,0.547,1354,2
"Existing Customer","F",35,"Unknown","Blue",6729,2375,0.353,4354,2
"Existing Customer","M",36,"$60K - $80K","Blue",2601,1817,0.699,784,3
"Existing Customer","M",54,"$80K - $120K","Blue",3380,1655,0.49,1725,3
"Existing Customer","M",27,"$60K - $80K","Blue",2730,1351,0.495,1379,2
"Attrited Customer","M",26,"$40K - $60K","Blue",3324,0,0,3324,1
"Existing Customer","F",56,"Less than $40K","Blue",2665,1844,0.692,821,3
"Existing Customer","F",60,"$40K - $60K","Blue",5015,2053,0.409,2962,3
"Existing Customer","M",54,"$60K - $80K","Blue",6905,2303,0.334,4602,3
"Existing Customer","M",48,"$80K - $120K","Blue",5848,950,0.162,4898,2
"Existing Customer","M",33,"$80K - $120K","Blue",19136,1608,0.084,17528,3
"Existing Customer","F",64,"Less than $40K","Blue",3500,1904,0.544,1596,3
"Existing Customer","M",35,"$60K - $80K","Blue",7453,0,0,7453,1
"Existing Customer","F",54,"Less than $40K","Blue",6266,1819,0.29,4447,3
"Existing Customer","F",29,"Less than $40K","Blue",4945,0,0,4945,3
"Attrited Customer","M",33,"$120K +","Blue",27992,0,0,27992,2
